"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"352",621244,"Berríos, José","1025","34.3","0.167","0.133","0.260","0.300","0.212","0.274","0.209","15","90","84.8","11.0","2367","83.7","83.24","57","146","206","-0.5","6.30","107","154","118","148","299","328","297"
"347",425794,"Wainwright, Adam","1039","33.4","0.207","0.174","0.219","0.380","0.261","0.274","0.224","19","92","84.9","5.0","2829","73.6","73.06","49","160","187","-0.5","6.41","115","158","117","149","298","320","302"
"336",448179,"Hill, Rich","847","39.7","0.180","0.034","0.232","0.213","0.224","0.310","0.252","16","89","87.8","5.6","2803","72.8","71.79","42","165","171","-1.0","6.24","102","155","117","148","306","322","294"
"318",592767,"Smyly, Drew","821","38.7","0.211","0.268","0.265","0.479","0.304","0.284","0.190","15","71","87.8","10.1","2147","78.8","78.05","62","140","178","-0.8","5.67","108","151","122","148","302","318","295"
"315",450203,"Morton, Charlie","944","33.4","0.136","0.037","0.217","0.173","0.191","0.245","0.199","11","81","82.4","6.7","3037","79.7","79.16","57","131","184","-0.5","6.25","110","151","122","150","300","320","296"
"306",628711,"Urías, Julio","955","32.0","0.125","0.088","0.160","0.213","0.141","0.185","0.175","10","80","83.0","16.9","2898","81.7","80.53","46","141","165","-1.2","5.49","111","157","118","150","298","316","290"
"284",593334,"Germán, Domingo","844","33.6","0.111","0.000","0.167","0.111","0.139","0.215","0.162","6","54","86.1","19.1","2613","81.1","80.80","54","134","150","-0.3","6.01","111","156","119","147","299","328","292"
"254",643290,"Dunn, Justin","768","33.1","0.152","0.022","0.233","0.174","0.192","0.208","0.136","7","46","82.8","22.7","2514","80.2","79.89","32","105","149","-0.3","6.37","109","153","111","147","295","324","300"
"239",518516,"Bumgarner, Madison","1035","23.1","0.180","0.131","0.270","0.311","0.235","0.243","0.175","11","61","89.8","16.5","2665","79.0","78.98","35","107","132","0.0","6.37","108","153","120","148","307","330","300"
"234",446372,"Kluber, Corey","848","27.6","0.172","0.069","0.273","0.241","0.215","0.237","0.188","10","58","84.9","21.2","2526","82.0","81.75","41","104","130","-0.3","6.45","110","154","122","148","301","329","290"
"227",425844,"Greinke, Zack","1107","20.5","0.239","0.211","0.236","0.451","0.306","0.307","0.265","17","71","81.7","15.3","2391","71.0","70.24","34","125","102","-0.8","5.84","112","156","116","151","288","324","291"
"225",656756,"Montgomery, Jordan","909","24.8","0.186","0.102","0.303","0.288","0.218","0.219","0.185","11","59","85.9","8.8","2252","80.0","80.06","46","111","114","0.1","6.55","106","153","117","148","299","327","287"
"211",543475,"Lyles, Jordan","1001","21.1","0.286","0.190","0.400","0.476","0.332","0.253","0.223","18","63","91.4","7.0","2712","80.1","79.43","28","96","115","-0.7","6.61","114","155","122","147","297","324","297"
"209",543243,"Gray, Sonny","798","26.2","0.244","0.098","0.345","0.341","0.280","0.313","0.281","10","41","91.5","7.0","2863","80.1","79.75","30","82","127","-0.3","6.40","113","156","117","149","293","316","293"
"204",571760,"Heaney, Andrew","914","22.3","0.190","0.095","0.318","0.286","0.225","0.282","0.224","8","42","86.9","12.7","2624","79.7","78.82","32","84","120","-0.9","5.78","115","160","115","150","300","325","298"
"203",518876,"Kelly, Merrill","992","20.5","0.250","0.117","0.317","0.367","0.270","0.288","0.250","15","60","90.5","1.7","2605","80.9","80.73","25","103","100","-0.2","6.26","113","154","118","150","304","332","306"
"194",500779,"Quintana, José","709","27.4","0.375","0.156","0.632","0.531","0.436","0.338","0.219","12","32","89.1","14.4","2300","78.6","78.64","36","76","118","0.0","6.41","114","155","117","155","308","325","301"
"193",543135,"Eovaldi, Nathan","994","19.4","0.091","0.030","0.120","0.121","0.123","0.228","0.202","3","33","80.6","-2.4","2142","78.6","78.81","24","70","123","0.2","6.49","114","158","116","149","282","318","303"
"188",666120,"Anderson, Ian","934","20.1","0.324","0.235","0.375","0.559","0.381","0.358","0.313","11","34","91.8","1.0","1887","80.4","81.03","13","50","138","0.6","6.73","110","152","125","151","299","319","294"
"178",642232,"Yarbrough, Ryan","1007","17.7","0.174","0.174","0.219","0.348","0.246","0.210","0.157","8","46","79.8","27.6","2317","71.2","69.29","27","95","83","-1.9","6.56","107","156","119","148","299","321","294"
"173",605397,"Musgrove, Joe","948","18.2","0.100","0.100","0.115","0.200","0.139","0.244","0.207","4","40","86.4","2.7","2734","81.8","80.94","26","76","97","-0.9","5.88","116","156","134","144","297","321","307"
"171",640455,"Manaea, Sean","1088","15.7","0.176","0.147","0.217","0.324","0.237","0.283","0.219","6","34","84.3","10.6","2040","80.6","81.63","25","67","104","1.0","6.99","110","149","117","154","296","326","303"
"171",592791,"Taillon, Jameson","834","20.5","0.308","0.051","0.429","0.359","0.343","0.302","0.251","12","39","90.7","3.6","2776","80.7","80.91","15","63","108","0.2","6.66","116","160","120","150","296","328","290"
"170",572070,"Richards, Garrett","989","17.2","0.138","0.207","0.143","0.345","0.231","0.231","0.156","4","29","84.6","17.4","3271","79.4","76.51","23","58","112","-2.9","5.90","112","156","116","149","291","327","301"
"166",607192,"Glasnow, Tyler","1172","14.2","0.093","0.040","0.304","0.133","0.096","0.081","0.081","7","75","85.6","0.3","3010","83.5","84.24","50","88","78","0.7","7.15","109","164","127","150","302","321","294"
"165",477132,"Kershaw, Clayton","1016","16.2","0.179","0.128","0.240","0.308","0.205","0.208","0.182","7","39","79.1","9.2","2588","74.6","74.25","16","62","103","-0.4","6.21","110","158","117","148","301","316","292"
"159",650644,"Civale, Aaron","1091","14.6","0.235","0.176","0.269","0.412","0.275","0.245","0.223","8","34","84.9","18.1","2785","77.0","75.06","20","65","94","-1.9","5.73","115","155","118","150","295","323","299"
"158",571927,"Matz, Steven","994","15.9","0.300","0.200","0.444","0.500","0.360","0.248","0.217","9","30","86.7","7.3","2359","78.0","77.86","20","59","99","-0.1","6.35","106","155","117","149","293","318","288"
"157",608331,"Fried, Max","664","23.6","0.188","0.125","0.353","0.313","0.253","0.232","0.171","6","32","87.6","8.4","2689","74.9","74.42","20","60","97","-0.5","6.16","103","150","118","149","304","316","287"
"145",453562,"Arrieta, Jake","853","17.0","0.071","0.036","0.133","0.107","0.095","0.173","0.128","2","28","89.2","5.3","2722","80.0","78.94","28","60","85","-1.1","5.79","112","155","115","149","292","321","295"
"140",621249,"Underwood Jr., Duane","513","27.3","0.257","0.143","0.286","0.400","0.290","0.360","0.311","9","35","91.7","10.4","2384","80.4","80.40","14","59","81","0.0","6.37","106","150","117","146","304","321","288"
"137",623167,"Flexen, Chris","873","15.7","0.267","0.100","0.318","0.367","0.272","0.271","0.273","8","30","91.5","7.3","2649","76.4","75.74","15","64","73","-0.7","5.95","112","156","115","148","297","325","300"
"136",605288,"Houser, Adrian","928","14.7","0.211","0.000","0.333","0.211","0.233","0.322","0.260","4","19","88.0","6.8","1910","80.6","80.38","12","48","88","-0.2","6.39","110","153","116","149","300","319","296"
"134",663474,"McKenzie, Triston","778","17.2","0.130","0.000","0.375","0.130","0.200","0.190","0.092","3","23","90.0","11.9","2068","78.7","79.50","26","50","84","0.8","6.73","117","160","123","151","291","321","298"
"133",543294,"Hendricks, Kyle","911","14.6","0.310","0.483","0.250","0.793","0.453","0.434","0.344","9","29","89.1","6.5","2819","73.0","70.73","12","54","79","-2.3","5.69","113","157","114","149","291","318","293"
"132",605540,"Woodruff, Brandon","1029","12.8","0.067","0.000","0.111","0.067","0.059","0.089","0.090","2","30","82.9","-7.3","2689","84.0","84.11","13","57","75","0.1","6.47","112","160","121","150","300","324","299"
"132",607644,"Means, John","1029","12.8","0.077","0.000","0.118","0.077","0.068","0.183","0.190","2","26","85.0","18.5","2354","77.6","76.38","9","40","92","-1.2","5.97","107","153","122","149","304","324","293"
"131",605483,"Snell, Blake","922","14.2","0.211","0.053","0.444","0.263","0.306","0.284","0.185","4","19","86.0","-0.4","2347","79.1","79.13","20","44","87","0.0","6.67","111","152","120","146","300","324","309"
"128",665152,"Kremer, Dean","720","17.8","0.259","0.333","0.235","0.593","0.353","0.335","0.286","7","27","90.6","21.5","2401","75.6","74.95","12","42","86","-0.6","6.17","108","152","116","149","304","326","296"
"127",656605,"Keller, Mitch","810","15.7","0.308","0.154","0.364","0.462","0.338","0.369","0.338","8","26","89.6","6.7","2673","78.6","77.90","7","45","82","-0.7","6.12","110","151","117","150","300","323","295"
"125",605164,"Bundy, Dylan","838","14.9","0.158","0.105","0.250","0.263","0.168","0.198","0.174","3","19","89.6","18.7","2534","74.7","73.22","7","29","96","-1.5","5.78","116","160","115","151","304","328","304"
"124",656546,"Hoffman, Jeff","773","16.0","0.333","0.133","0.455","0.467","0.365","0.303","0.259","5","15","93.4","15.2","2492","77.5","77.48","9","35","89","0.0","6.44","112","151","111","144","294","316","288"
"117",669145,"Zimmermann, Bruce","822","14.2","0.156","0.031","0.333","0.188","0.181","0.220","0.193","5","32","90.8","6.1","2624","82.1","81.27","26","55","62","-0.8","6.14","111","152","121","148","302","324","298"
"110",547943,"Ryu, Hyun Jin","905","12.2","0.240","0.080","0.333","0.320","0.239","0.305","0.251","6","25","84.0","15.7","2475","72.6","72.34","18","48","62","-0.3","6.33","108","155","118","149","297","317","286"
"107",666200,"Luzardo, Jesús","543","19.7","0.207","0.138","0.455","0.345","0.233","0.139","0.118","6","29","90.1","11.6","2467","84.1","82.26","35","60","47","-1.8","5.64","114","148","121","153","296","321","296"
"104",668676,"Plesac, Zach","881","11.8","0.125","0.042","0.143","0.167","0.120","0.210","0.214","3","24","83.1","8.7","1940","80.9","80.83","13","46","58","-0.1","6.13","117","156","119","150","293","323","295"
"102",518774,"Harvey, Matt","961","10.6","0.368","0.316","0.400","0.684","0.418","0.280","0.250","7","19","85.9","13.0","2411","80.2","78.48","12","41","61","-1.7","5.87","112","152","112","150","299","324","300"
"102",594835,"Gonzales, Marco","528","19.3","0.259","0.111","0.333","0.370","0.301","0.394","0.311","7","27","91.5","5.0","2323","74.5","74.06","12","49","53","-0.4","6.17","108","154","116","146","296","323","297"
"98",669203,"Burnes, Corbin","792","12.4","0.053","0.053","0.167","0.105","0.098","0.113","0.082","1","19","84.2","10.8","2948","81.7","81.69","20","34","64","0.0","6.31","111","154","117","146","302","319","297"
"98",621107,"Eflin, Zach","1017","9.6","0.259","0.185","0.375","0.444","0.297","0.288","0.253","7","27","85.1","14.7","2275","77.4","77.75","16","45","53","0.3","6.56","114","153","117","149","300","322","294"
"98",641154,"López, Pablo","1078","9.1","0.200","0.000","0.250","0.200","0.204","0.385","0.371","2","10","85.4","20.5","2504","80.1","80.73","8","18","80","0.6","6.73","111","153","115","149","297","316","290"
"97",592866,"Williams, Trevor","765","12.7","0.333","0.238","0.333","0.571","0.394","0.248","0.225","7","21","85.3","2.9","2247","77.9","78.92","13","48","49","1.0","6.82","110","154","110","148","300","323","297"
"92",607200,"Fedde, Erick","657","14.0","0.083","0.042","0.143","0.125","0.135","0.193","0.148","2","24","82.9","12.1","2203","79.9","80.24","9","32","60","0.3","6.56","113","155","125","145","306","321","299"
"88",554430,"Wheeler, Zack","1115","7.9","0.125","0.000","0.300","0.125","0.150","0.154","0.107","3","24","83.6","6.5","2619","81.0","81.85","20","39","49","0.9","7.00","112","151","115","149","297","323","293"
"86",453286,"Scherzer, Max","1078","8.0","0.250","0.313","0.375","0.563","0.357","0.317","0.210","4","16","94.5","23.8","2706","76.6","75.63","13","27","59","-1.0","6.34","114","156","122","149","298","323","303"
"85",527048,"Pérez, Martín","897","9.5","0.500","0.200","0.625","0.700","0.500","0.362","0.248","5","10","80.6","-4.9","2470","78.5","77.72","8","25","60","-0.8","5.70","106","153","115","146","292","323","292"
"84",605200,"Davies, Zach","925","9.1","0.200","0.100","0.211","0.300","0.235","0.318","0.290","4","20","82.4","-0.5","2442","73.6","73.25","6","39","45","-0.3","5.96","114","154","113","148","293","320","293"
"80",607231,"Gant, John","893","9.0","0.200","0.000","0.200","0.200","0.223","0.430","0.346","2","10","93.1","11.7","2458","74.4","74.10","2","16","64","-0.3","6.30","115","158","113","149","296","318","299"
"77",547942,"Kim, Kwang Hyun","658","11.7","0.286","0.143","0.400","0.429","0.329","0.366","0.335","4","14","87.3","11.0","2148","70.1","70.24","12","29","48","0.1","6.47","110","155","119","147","299","319","293"
"76",605135,"Bassitt, Chris","1110","6.8","0.152","0.242","0.250","0.394","0.221","0.200","0.167","5","33","88.7","10.2","2331","71.5","71.09","15","36","40","-0.4","6.34","114","151","127","152","299","325","302"
"75",592836,"Walker, Taijuan","953","7.9","0.000","0.000","0.000","0.000","0.144","0.200","0.076","0","4","79.3","15.3","2432","76.1","75.03","6","15","60","-1.1","5.79","119","160","112","152","295","326","301"
"74",663978,"Paddack, Chris","822","9.0","0.091","0.000","0.200","0.091","0.131","0.208","0.169","1","11","87.4","-9.6","2232","78.3","77.99","8","19","55","-0.3","6.53","121","160","138","146","296","324","309"
"73",571510,"Boyd, Matthew","981","7.4","0.111","0.000","0.250","0.111","0.160","0.161","0.097","1","9","86.2","8.8","2579","73.6","72.68","6","15","58","-0.9","6.10","104","154","118","147","302","328","295"
"69",518633,"Duffy, Danny","690","10.0","0.250","0.000","0.750","0.250","0.220","0.192","0.193","3","12","93.8","9.0","2473","77.6","77.79","12","26","43","0.2","6.74","106","157","117","143","300","319","293"
"69",677651,"Garcia, Luis","889","7.8","0.125","0.000","0.200","0.125","0.110","0.094","0.098","1","8","80.5","6.2","2246","75.8","75.51","6","16","53","-0.3","6.23","119","159","113","154","290","327","298"
"68",642092,"Smith, Riley","656","10.4","0.214","0.214","0.250","0.429","0.263","0.343","0.260","3","14","91.9","13.5","2359","79.3","79.16","4","23","45","-0.1","6.34","114","155","117","151","301","331","301"
"65",664141,"Brubaker, JT","831","7.8","0.071","0.000","0.091","0.071","0.105","0.228","0.204","1","14","80.4","8.8","2817","79.6","78.91","7","25","40","-0.7","5.85","111","156","120","150","304","323","290"
"64",502624,"Anderson, Chase","709","9.0","0.500","0.500","0.556","1.000","0.627","0.440","0.344","6","12","93.8","6.8","2036","77.2","76.16","6","20","44","-1.0","5.71","113","150","113","150","296","323","295"
"63",656288,"Canning, Griffin","769","8.2","0.500","0.667","0.667","1.167","0.688","0.422","0.308","3","6","85.2","40.0","2365","82.5","80.13","8","21","42","-2.4","5.65","118","160","117","157","301","328","303"
"63",592314,"Foltynewicz, Mike","1091","5.8","0.714","0.571","0.667","1.286","0.826","0.472","0.434","5","7","89.5","14.0","2378","78.0","78.05","2","20","43","0.1","6.13","112","159","119","148","299","326","297"
"61",621052,"Reyes, Alex","532","11.5","0.333","0.000","0.500","0.333","0.350","0.320","0.263","2","6","88.9","-28.8","2879","79.0","77.71","6","16","45","-1.3","5.90","116","158","118","148","298","324","304"
"61",592761,"Smith, Caleb","669","9.1","0.167","0.000","0.250","0.167","0.147","0.193","0.187","2","12","87.0","18.0","2705","78.7","77.70","8","22","39","-1.0","5.50","113","154","115","150","304","329","301"
"60",663460,"Bubic, Kris","538","11.2","0.333","0.111","0.429","0.444","0.333","0.257","0.248","3","9","89.8","-14.1","2648","78.8","77.36","5","20","40","-1.4","6.40","109","161","122","147","300","320","298"
"58",502043,"Gibson, Kyle","904","6.4","0.200","0.000","0.222","0.200","0.176","0.222","0.237","2","10","87.5","3.2","2436","79.2","79.61","5","28","30","0.4","6.58","117","159","119","149","293","324","297"
"54",605513,"Turnbull, Spencer","719","7.5","0.100","0.000","0.143","0.100","0.146","0.246","0.208","1","10","86.5","9.4","2624","79.7","79.15","6","20","34","-0.5","6.21","111","152","121","149","299","330","302"
"52",506433,"Darvish, Yu","1108","4.7","0.143","0.000","0.143","0.143","0.200","0.320","0.273","1","7","70.5","-12.4","2627","71.9","71.48","4","17","35","-0.4","6.40","118","155","130","146","295","318","311"
"51",645261,"Alcantara, Sandy","1079","4.7","0.333","1.000","0.000","1.333","0.669","0.403","0.290","1","3","98.2","27.0","2431","84.1","83.40","3","9","42","-0.7","5.88","120","153","106","152","299","313","290"
"50",642547,"Peralta, Freddy","957","5.2","0.000","0.000","0.000","0.000","0.000","0.120","0.131","0","6","71.9","-1.0","2272","76.8","77.89","6","14","36","1.1","7.13","113","159","122","147","300","323","302"
"50",664353,"Urquidy, José","774","6.5","0.250","0.125","0.400","0.375","0.312","0.189","0.126","2","8","92.1","18.2","2532","75.9","75.40","2","12","38","-0.5","6.11","115","159","114","153","289","326","298"
"45",592351,"Gray, Jon","994","4.5","0.500","0.000","0.500","0.500","0.440","0.392","0.413","2","4","67.7","-12.8","2538","75.4","75.29","2","9","36","-0.1","6.16","119","155","120","150","301","333","305"
"44",640444,"Crowe, Wil","612","7.2","0.417","0.167","0.500","0.583","0.424","0.508","0.423","5","12","93.6","11.7","2525","81.1","81.17","2","19","25","0.1","6.46","110","153","116","149","297","325","291"
"39",452657,"Lester, Jon","568","6.9","0.200","0.000","0.333","0.200","0.176","0.061","0.064","1","5","72.5","1.7","2525","73.0","72.75","3","12","27","-0.3","6.19","108","154","116","148","306","322","294"
"38",622608,"Senzatela, Antonio","941","4.0","0.375","0.000","0.500","0.375","0.330","0.360","0.384","3","8","86.0","23.3","2203","77.0","77.01","3","13","25","0.0","6.05","112","154","122","149","306","336","308"
"34",489119,"Miley, Wade","815","4.2","0.250","0.000","0.500","0.250","0.220","0.239","0.252","1","4","84.3","-19.0","2401","75.2","74.88","3","13","21","-0.3","6.06","112","152","116","146","294","317","288"
"33",592346,"González, Chi Chi","684","4.8","0.286","0.000","0.333","0.286","0.251","0.182","0.190","2","7","89.6","33.0","2694","81.5","81.30","2","14","19","-0.2","5.84","114","154","122","151","301","338","306"
"31",608344,"Irvin, Cole","954","3.2","0.444","0.444","0.375","0.889","0.570","0.456","0.355","4","9","93.9","11.7","2066","76.5","76.32","1","15","16","-0.2","6.10","110","150","119","150","301","325","296"
"26",656629,"Kopech, Michael","522","5.0","0.500","0.000","0.500","0.500","0.440","0.168","0.182","2","4","64.9","-3.0","2520","78.5","78.55","3","9","17","0.0","6.26","117","156","111","152","297","318","296"
"24",676596,"Fleming, Josh","655","3.7","0.600","0.600","0.667","1.200","0.748","0.572","0.489","3","5","95.4","17.0","1842","78.5","78.82","2","10","14","0.3","6.57","112","155","121","150","297","321","300"
"23",458681,"Lynn, Lance","956","2.4","0.333","0.000","1.000","0.333","0.293","0.193","0.210","1","3","88.8","10.0","2436","80.9","80.86","2","4","19","0.0","6.22","119","153","110","154","298","318","294"
"23",457918,"Happ, J.A.","912","2.5","0.143","0.429","0.000","0.571","0.287","0.231","0.174","1","7","86.1","31.3","2315","77.0","76.60","3","11","12","-0.4","5.79","103","150","115","144","300","324","294"
"22",660271,"Ohtani, Shohei","584","3.8","0.000","0.000","0.000","0.000","0.180","0.216","0.044","0","3","88.9","-8.0","2516","74.6","74.30","5","6","16","-0.3","6.67","112","161","120","150","310","329","305"
"21",607074,"Rodón, Carlos","891","2.4",,,,,,,,,,,,"2234","76.2","76.07","2","2","19","-0.1","6.16","108","151","112","149","302","318","292"
"19",628317,"Maeda, Kenta","718","2.6",,,,,,,,,,,,"2558","76.1","75.10","1","1","18","-1.0","5.65","114","165","101","152","302","331","296"
"18",608379,"Wacha, Michael","517","3.5","0.000","0.000","0.000","0.000","0.000","0.265","0.151","0","1","95.9","34.0","2094","75.4","75.53","2","4","14","0.1","6.63","107","156","107","150","303","324","295"
"15",605242,"Fulmer, Michael","588","2.6",,,,,,,,,,,,"2497","79.9","79.90","0","2","13","0.0","6.49","118","157","121","156","292","329","302"
"15",456501,"Cueto, Johnny","698","2.1","0.500","0.000","0.500","0.500","0.440","0.452","0.485","1","2","54.8","37.0","2383","79.1","78.37","0","4","11","-0.7","5.61","110","158","104","151","295","322","292"
"12",685503,"Arihara, Kohei","507","2.4","0.333","0.667","0.333","1.000","0.523","0.598","0.415","1","3","93.6","17.0","2266","74.0","73.87","0","3","9","-0.1","6.38","119","157","113","151","295","330","301"
"9",573186,"Stroman, Marcus","954","0.9",,,,,,,,,,,,"2514","79.8","78.94","1","1","8","-0.9","5.77","118","153","113","150","300","329","297"
"8",542881,"Anderson, Tyler","983","0.8","0.500","0.000","0.500","0.500","0.440","0.536","0.499","1","2","102.4","25.0","2547","74.1","73.64","0","2","6","-0.5","5.95","106","152","125","148","297","317","285"
"8",640470,"Alzolay, Adbert","830","1.0","1.000","3.000",,"4.000","2.007","0.532","0.289","1","1","98.9","34.0","2743","80.5","80.70","0","2","6","0.2","6.24","110","158","109","152","295","332","302"
"7",596133,"Weaver, Luke","673","1.0","0.333","0.333","1.000","0.667","0.414","0.247","0.253","1","3","102.2","9.0","2263","79.5","78.84","1","2","5","-0.7","5.81","121","157","119","153","302","320","286"
"6",571578,"Corbin, Patrick","913","0.7","1.000","0.000","1.000","1.000","0.879","0.862","0.877","1","1","105.5","12.0","1822","63.9","64.13","0","3","3","0.2","6.53","109","156","117","152","311","316","292"
"5",608337,"Giolito, Lucas","1057","0.5","0.000","0.000",,"0.000","0.000","0.000",,"0","1",,,"2690","81.8","81.72","2","2","3","-0.1","6.34","118","161","110","155","295","314","301"
"3",596001,"Junis, Jakob","549","0.5",,,,,,,,,,,,"2320","77.6","76.37","0","0","3","-1.2","5.27","109","147","86","154","281","320","297"
"3",593372,"Martínez, Carlos","827","0.4",,,,,,,,,,,,"1984","77.5","76.07","0","0","3","-1.4","5.23","118","158","108","154","293","325","309"
"2",656849,"Peterson, David","734","0.3","1.000","0.000","1.000","1.000","0.879","0.632","0.637","1","1","95.9","16.0","1914","73.5","74.10","0","1","1","0.6","6.65","113","149","106","150","306","323","303"
"1",594798,"deGrom, Jacob","674","0.1",,,,,,,,,,,,"2659","84.6","85.60","0","0","1","1.0","6.90","128","146","111","155","304","318","300"
