"ID","Date","Umpire","Home Team","Away Team","Teams","Home Score","Away Score","Called Pitches","Called Wrong","Accuracy","Consistency","Favor [Home]","Total Run Impact"
"660906","2021-11-02","Mike Muchlinski","HOU","ATL","HOUATL","0","7","144","5","96.5","98.9","-0.59","0.98"
"660911","2021-10-31","Ted Barrett","ATL","HOU","ATLHOU","5","9","172","15","91.3","95.5","0.50","1.67"
"660902","2021-10-30","Dan Bellino","ATL","HOU","ATLHOU","3","2","153","15","90.2","92.5","-0.46","1.68"
"660908","2021-10-27","Ron Kulpa","HOU","ATL","HOUATL","7","2","120","5","95.8","100.0","0.26","0.42"
"660897","2021-10-26","Chris Conroy","HOU","ATL","HOUATL","2","6","159","8","95.0","96.4","1.62","1.77"
"660921","2021-10-23","Lance Barksdale","ATL","LAD","ATLLAD","4","2","150","8","94.7","91.9","-1.02","1.47"
"660899","2021-10-22","Jim Wolf","HOU","BOS","HOUBOS","5","0","102","7","93.1","93.8","0.38","0.89"
"660903","2021-10-21","Mark Carlson","LAD","ATL","LADATL","11","2","146","8","94.5","97.8","0.04","0.79"
"660900","2021-10-20","Dan Iassogna","BOS","HOU","BOSHOU","1","9","141","7","95.0","93.2","-0.25","0.64"
"660904","2021-10-20","James Hoye","LAD","ATL","LADATL","2","9","136","10","92.6","93.3","0.21","0.81"
"660916","2021-10-19","Jerry Meals","LAD","ATL","LADATL","6","5","197","15","92.4","94.6","0.64","2.71"
"660923","2021-10-19","Laz Diaz","BOS","HOU","BOSHOU","2","9","170","21","87.6","97.5","-0.80","3.17"
"660898","2021-10-18","Bill Miller","BOS","HOU","BOSHOU","12","3","150","17","88.7","94.1","0.45","1.60"
"660922","2021-10-17","Jordan Baker","ATL","LAD","ATLLAD","5","4","140","10","92.9","95.2","-0.31","1.03"
"660913","2021-10-16","Rob Drake","HOU","BOS","HOUBOS","5","9","173","6","96.5","100.0","-0.22","1.46"
"660924","2021-10-16","Tripp Gibson","ATL","LAD","ATLLAD","3","2","109","4","96.3","98.6","-0.30","0.30"
"660896","2021-10-15","David Rackley","HOU","BOS","HOUBOS","5","4","171","10","94.2","96.6","-0.50","1.60"
"660920","2021-10-14","Doug Eddings","SF","LAD","SFLAD","1","2","132","7","94.7","98.9","-0.68","1.27"
"660914","2021-10-12","Tony Randazzo","ATL","MIL","ATLMIL","5","4","148","13","91.2","94.9","1.04","2.66"
"660918","2021-10-12","Pat Hoberg","LAD","SF","LADSF","7","2","145","8","94.5","96.1","-0.18","1.14"
"660926","2021-10-12","Vic Carapazza","CWS","HOU","CWSHOU","1","10","179","12","93.3","98.3","0.52","1.14"
"660905","2021-10-11","Alfonso Marquez","ATL","MIL","ATLMIL","3","0","131","4","96.9","98.9","-0.40","0.40"
"660919","2021-10-11","Ted Barrett","LAD","SF","LADSF","0","1","131","16","87.8","92.8","0.53","1.76"
"660927","2021-10-11","Ron Kulpa","BOS","TB","BOSTB","6","5","110","11","90.0","94.6","1.10","1.98"
